class,numMethods,numTries,numImports,output0,output1,output2,output3
HttpResponseBody,5,3,8,Compilation errors,Compilation errors,Compilation errors,Compilation errors
SiteNodeStringComparator,1,3,1,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ApiResponseElement,5,3,9,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ProxyThread,20,3,33,Compilation errors,Compilation errors,Compilation errors,Compilation errors
Spider,31,3,23,Compilation errors,Compilation errors,Compilation errors,Compilation errors
PopupFlagCustomPageIndicatorMenu,6,3,11,Compilation errors,Compilation errors,Compilation errors,Compilation errors
ExtensionLoader,73,3,54,Compilation errors,Compilation errors,Test failures,Test failures
EncodingUtils,1,0,3,Success
HttpPanelParamTableModel,12,3,9,Test failures,Compilation errors,Compilation errors,Compilation errors
UrlPatternScanFilter,2,3,5,Compilation errors,Compilation errors,Compilation errors,Compilation errors
